kab_kot;pdrb_per_kapita;ipm;akses_internet;tingkat_pengangguran
A;26.4378876;79;86.49219097;2.523753105
B;28.94152568;79;86.21100991;2.211397162
C;27.04488461;74.31828168;82.84615289;2.405382733
D;29.41508702;76.76396755;82.48420002;4.650907467
E;29.70233642;77.57371502;81.84395212;2.945971875
F;25.2277825;79;85.51614289;4.485568704
G;27.64052744;79;81.73820703;3.24368743
H;29.46209522;79;83.93018927;4.232475878
I;27.75717507;78.65920067;84.52706625;2.483936169
J;27.28307368;76.5173987;90;2.00749285
K;23.71043414;69.92026758;69.46851991;7.3579294
L;15.06300784;63.47011239;67.62685501;4.558836783
M;15.72057124;60;65.13732972;4.27693403
N;16.64211225;60;60;5.763726881
O;22.70334074;60.40485753;63.82395251;3.715284278
P;22.35184306;64.58192683;62.7879966;4.426026521
Q;24.71875636;61.56860457;68.32168847;5.617985817
R;19.66472377;68.65108422;61.69831222;6.109848139
S;15.74384513;70;69.01060935;6.22337381
T;21.48818124;61.29833247;62.0501511;4.636342703
U;10.90314734;54.9829554;46.19475;9.059749937
V;8.83583346;57.76411524;52.31676814;8.295403536
W;11.68220762;59.43610453;47.76012799;6.282781838
X;9.575513456;59.18222447;50.68537162;7.884650499
Y;11.40488235;57.04636871;44.78451638;5.984407421
Z;10.59150359;54.98747267;48.19052727;10.95529397
AA;14.88345127;60;46.3532607;8.909680406
AB;10.71823381;57.16651898;47.6165644;7.214538827
AC;9.604713882;55.28487558;42.44412599;8.261472295
AD;12.36308282;58.00008614;40.9186089;6.42561131
