jtanah;yield;water;herbicide
loam;76.07.00;29.05.00;07.05
loam;60.05.00;32.01.00;06.03
loam;96.01.00;40.07.00;04.02
loam;88.01.00;45.01.00;04.09
loam;50.02.00;34.01.00;11.07
loam;55.00.00;31.01.00;06.09
loam;65.04.00;21.06;04.03
loam;65.07.00;27.07.00;05.03
sandy;67.03.00;48.03.00;05.05
sandy;61.03.00;28.09.00;06.09
sandy;58.02.00;42.05.00;04.08
sandy;76.09.00;20.04;03.00
sandy;66.09.00;23.09;01.01
sandy;55.04.00;29.01.00;05.00
sandy;50.05.00;18.00;04.08
sandy;64.01.00;14.05;03.07
clay;52.05.00;39.00.00;03.01
clay;80.00.00;54.02.00;04.00
clay;54.07.00;32.01.00;05.07
clay;63.05.00;25.06.00;03.00
clay;46.03.00;31.08.00;07.04
clay;61.05.00;16.08;01.09
clay;62.09.00;25.08.00;02.04
clay;49.03.00;39.04.00;05.02
