Jenis_Kelamin,Social_Ekonomi,Kerahamahan,Optimisme
laki-laki,Kaya,5,3
laki-laki,Kaya,4,6
laki-laki,Kaya,3,4
laki-laki,Kaya,2,4
laki-laki,Menengah,4,6
laki-laki,Menengah,3,6
laki-laki,Menengah,5,4
laki-laki,Menengah,5,5
laki-laki,Miskin,7,5
laki-laki,Miskin,4,3
laki-laki,Miskin,3,1
laki-laki,Miskin,7,2
Perempuan,Kaya,2,3
Perempuan,Kaya,3,5
Perempuan,Kaya,5,3
Perempuan,Kaya,4,2
Perempuan,Menengah,9,8
Perempuan,Menengah,6,5
Perempuan,Menengah,7,6
Perempuan,Menengah,8,9
Perempuan,Miskin,8,9
Perempuan,Miskin,9,8
Perempuan,Miskin,3,7
Perempuan,Miskin,5,7
